num_particles,sigma,delta,trial,est_x,est_y,est_theta,error
1000,0.01,0.001,1,-0.14810937460846857,0.12648422609873647,-1.32861879354186,2.274137481358778
1000,0.01,0.001,2,0.21126401229605674,0.8702215780251394,-1.2518908785871035,2.5022877103345023
1000,0.01,0.001,3,0.7753853456170449,0.08232607217337214,-0.8273328891307103,2.0703395317928064
1000,0.01,0.01,1,-0.2970130033721134,-0.30064942707542813,0.906384729003973,0.007078747688361125
1000,0.01,0.01,2,0.3080406097734588,-0.48117088900768534,-1.3925028793012764,2.3786773059333117
1000,0.01,0.01,3,0.10363239034700143,0.0792340535120366,1.517605372422883,0.8295625171896404
1000,0.01,0.1,1,-0.2957761448836896,-0.19468581423257644,1.1516485417509432,0.27282944716667795
1000,0.01,0.1,2,0.2698873330838996,0.8640546781263947,-1.6499462139624739,2.8604231435539353
1000,0.01,0.1,3,0.15139391542292116,-0.9086332203978064,0.6947238991772225,0.7850663293134175
1000,0.05,0.001,1,0.518171743930482,-0.9712183558266939,2.5714014022074347,1.9782623008756741
1000,0.05,0.001,2,0.2737111173839162,-0.5087083592254109,-1.2991751630140862,2.282339813226439
1000,0.05,0.001,3,-0.3378125212180405,-0.27707031801735194,0.8607602949611163,0.059121159733455164
1000,0.05,0.01,1,-0.29363682450840084,-0.2988745188823256,0.907100060881836,0.009600394502774669
1000,0.05,0.01,2,-0.30094516514843994,-0.2954494543747037,0.8931542374445354,0.008274374152256594
1000,0.05,0.01,3,-0.29349296877983927,-0.30243739134444036,0.9196441264919452,0.020836843270938345
1000,0.05,0.1,1,0.2765080753846609,-0.7648113052998424,1.4035342119700167,0.8955209730333148
1000,0.05,0.1,2,0.08955205454927333,-0.823989681437287,0.7576432984290821,0.6682674763434632
1000,0.05,0.1,3,0.4017776133584263,-0.8487956844130184,1.3701522796276069,1.0073289869156143
1000,0.2,0.001,1,0.08665736195347942,-0.5288039228200502,-0.58530075615824,1.5517646364365014
1000,0.2,0.001,2,0.17023614185250752,-0.6042658616567443,-0.6016285990231756,1.6026815632178333
1000,0.2,0.001,3,0.0012341052628098176,-0.7178787489672463,0.05196941280753085,0.9922300700069118
1000,0.2,0.01,1,0.24027111926013162,-0.3506731881409219,-0.7671379222238495,1.7532283097246106
1000,0.2,0.01,2,0.07564090976693773,-0.592204882477099,-0.43789598863100104,1.42001952903082
1000,0.2,0.01,3,-0.2579106559747733,-0.3172523960098086,0.9728995214557051,0.08592728482283099
1000,0.2,0.1,1,-0.10122171512917542,0.06626188407186523,0.3263407011822577,0.7090455312461413
1000,0.2,0.1,2,-0.027320512443500512,0.31786369970275047,-0.33370703453568323,1.4064646107909275
1000,0.2,0.1,3,0.02682724022313856,0.42280871785451674,-0.6269433716564579,1.7207046660609586
2500,0.01,0.001,1,0.19674663555224603,0.17103544134261134,1.8414286039506826,1.1640100614985402
2500,0.01,0.001,2,-0.30466716246616404,-0.29506153887389175,0.8876847649621165,0.014065412109780684
2500,0.01,0.001,3,0.9173575410323112,0.042763892955908316,-2.431269662057074,3.2114252980478284
2500,0.01,0.01,1,-0.298499218689218,-0.29964105281467357,0.9056846431856845,0.005890361259990602
2500,0.01,0.01,2,0.09613747602207473,0.07908153063238614,1.5112774756611813,0.8211503266920368
2500,0.01,0.01,3,0.08963496060115261,0.20730741307569456,-1.5545964536287218,2.536576425824957
2500,0.01,0.1,1,-0.19344736089839354,-0.14895082327175818,1.384725611895806,0.5187757102231758
2500,0.01,0.1,2,-0.17222572731900287,-0.2553768064657534,1.1867832087673416,0.3171152834400215
2500,0.01,0.1,3,-0.18008519246557173,-0.12739652199207827,1.3883403710130844,0.5316463482877004
2500,0.05,0.001,1,0.13035430892861152,0.8433877560216828,-1.6207950749448337,2.801240475521488
2500,0.05,0.001,2,-0.34230127416783146,-0.2433519435709737,0.7465392269722783,0.168963336116668
2500,0.05,0.001,3,-0.2939697618000026,-0.3516162889475608,0.9545810249480658,0.07536374023260892
2500,0.05,0.01,1,-0.29994411754350003,-0.30112020749658497,0.9026767511347447,0.002902237812741567
2500,0.05,0.01,2,-0.30045053320610804,-0.29490091786784695,0.8922089435381894,0.00932224112278623
2500,0.05,0.01,3,-0.29714728421956293,-0.30153489346552886,0.9076467827758017,0.00830464762014479
2500,0.05,0.1,1,0.02318618387667464,-0.6823575143764402,0.8163409248912336,0.5075878437245632
2500,0.05,0.1,2,0.040351892845939166,-0.6009885087149345,0.9719971958703125,0.46001857522869877
2500,0.05,0.1,3,0.0596377750325904,-0.48275956593865266,1.351765607677624,0.605667031010282
2500,0.2,0.001,1,0.05740557524753913,-0.6274572759704681,-0.18311619371138352,1.1866371399395261
2500,0.2,0.001,2,0.12409130822442058,-0.017925492120195324,1.0634388236897578,0.5349128104618791
2500,0.2,0.001,3,0.2516845842351576,-0.3715871069164664,0.2586939174992464,0.8489723704643465
2500,0.2,0.01,1,-0.16192302260418456,-0.3709825499320696,0.6390554489957725,0.30363766693284466
2500,0.2,0.01,2,-0.13095552310339487,-0.39392675890056744,0.9091393521048844,0.19360216673299202
2500,0.2,0.01,3,0.11471822047937763,-0.6835823969319855,-0.1684475409597132,1.208597040132288
2500,0.2,0.1,1,0.004543530997642748,-0.027270963152003502,0.8004868599289034,0.42075022859097494
2500,0.2,0.1,2,-0.06028535084844917,0.061244686115795775,0.4640856918807881,0.6148025051085935
2500,0.2,0.1,3,0.054680919597262186,0.18957678886038992,-0.25000482313213884,1.2992286481387303
